title;brand;category;condition;price;listed_at
Carhartt — Felpa/Pullover con logo ricamato;Carhartt;Felpa/Pullover;usato;40.0;2025-08-19
Carhartt — Felpa/Pullover con logo ricamato;Carhartt;Felpa/Pullover;usato;50.0;2025-09-18
Carhartt — Felpa con logo sulla manica;Carhartt;Felpa;usato;40.0;2025-08-19
Carhartt — Felpa con logo sulla manica;Carhartt;Felpa;usato;50.0;2025-09-18
Carhartt — Felpa con zip (tessuto consigliato);Carhartt;Felpa con zip;usato;45.0;2025-08-19
Carhartt — Felpa con zip (tessuto consigliato);Carhartt;Felpa con zip;usato;55.0;2025-09-18
Carhartt — Giacca fleece;Carhartt;Giacca;usato;60.0;2025-08-19
Carhartt — Giacca fleece;Carhartt;Giacca;usato;75.0;2025-09-18
Carhartt — Windbreaker;Carhartt;Giacca a vento;usato;40.0;2025-08-19
Carhartt — Windbreaker;Carhartt;Giacca a vento;usato;55.0;2025-09-18
Carhartt — Zaino;Carhartt;Zaino;usato;40.0;2025-08-19
Carhartt — Zaino;Carhartt;Zaino;usato;45.0;2025-09-18
Carhartt — Borsello classico;Carhartt;Borsello;usato;25.0;2025-08-19
Carhartt — Borsello classico;Carhartt;Borsello;usato;35.0;2025-09-18
Carhartt — Borsello stile jeans;Carhartt;Borsello;usato;30.0;2025-08-19
Carhartt — Borsello stile jeans;Carhartt;Borsello;usato;40.0;2025-09-18
Nike (Vintage) — Felpa con zip (vintage);Nike (Vintage);Felpa con zip;usato;35.0;2025-08-19
Nike (Vintage) — Felpa con zip (vintage);Nike (Vintage);Felpa con zip;usato;45.0;2025-09-18
Nike (Vintage) — Pullover / Crewneck (vintage);Nike (Vintage);Pullover/Crewneck;usato;50.0;2025-08-19
Nike (Vintage) — Pullover / Crewneck (vintage);Nike (Vintage);Pullover/Crewneck;usato;65.0;2025-09-18
Nike (Vintage) — Windbreaker (vintage);Nike (Vintage);Giacca a vento;usato;45.0;2025-08-19
Nike (Vintage) — Windbreaker (vintage);Nike (Vintage);Giacca a vento;usato;55.0;2025-09-18
Nike (Vintage) — Pantaloni baggy (chiusura stretta - zip);Nike (Vintage);Pantaloni;usato;30.0;2025-08-19
Nike (Vintage) — Pantaloni baggy (chiusura stretta - zip);Nike (Vintage);Pantaloni;usato;40.0;2025-09-18
Nike (Vintage) — Pantaloni baggy (logo caviglia);Nike (Vintage);Pantaloni;usato;55.0;2025-08-19
Nike (Vintage) — Pantaloni baggy (logo caviglia);Nike (Vintage);Pantaloni;usato;60.0;2025-09-18
Nike Tech — Nike Tech completo (colori standard);Nike Tech;Completo;usato;80.0;2025-08-19
Nike Tech — Nike Tech completo (colori standard);Nike Tech;Completo;usato;95.0;2025-09-18
Nike Tech — Felpa Nike Tech;Nike Tech;Felpa;usato;30.0;2025-08-19
Nike Tech — Felpa Nike Tech;Nike Tech;Felpa;usato;35.0;2025-09-18
Nike Tech — Pantaloni Nike Tech;Nike Tech;Pantaloni;usato;30.0;2025-08-19
Nike Tech — Pantaloni Nike Tech;Nike Tech;Pantaloni;usato;40.0;2025-09-18
Nike Tech (nuovo modello) — Nike Tech NEW completo;Nike Tech (nuovo modello);Completo;nuovo;120.0;2025-08-19
Nike Tech (nuovo modello) — Nike Tech NEW completo;Nike Tech (nuovo modello);Completo;nuovo;140.0;2025-09-18
Nike Tech (nuovo modello) — Felpa Nike Tech NEW;Nike Tech (nuovo modello);Felpa;nuovo;45.0;2025-08-19
Nike Tech (nuovo modello) — Felpa Nike Tech NEW;Nike Tech (nuovo modello);Felpa;nuovo;55.0;2025-09-18
Nike Tech (nuovo modello) — Pantaloni Nike Tech NEW;Nike Tech (nuovo modello);Pantaloni;nuovo;40.0;2025-08-19
Nike Tech (nuovo modello) — Pantaloni Nike Tech NEW;Nike Tech (nuovo modello);Pantaloni;nuovo;45.0;2025-09-18
Footkorner — Modello FTKR accanto alla zip (completo);Footkorner;Completo;usato;60.0;2025-08-19
Footkorner — Modello FTKR accanto alla zip (completo);Footkorner;Completo;usato;70.0;2025-09-18
Footkorner — Modello Diamond nero/blu (completo);Footkorner;Completo;usato;80.0;2025-08-19
Footkorner — Modello Diamond nero/blu (completo);Footkorner;Completo;usato;90.0;2025-09-18
Footkorner — Altro modello importante (completo);Footkorner;Completo;usato;70.0;2025-08-19
Footkorner — Altro modello importante (completo);Footkorner;Completo;usato;80.0;2025-09-18
Footkorner — Altro modello (completo);Footkorner;Completo;usato;55.0;2025-08-19
Footkorner — Altro modello (completo);Footkorner;Completo;usato;65.0;2025-09-18
Footkorner — Altri modelli (range generale);Footkorner;Completo;usato;40.0;2025-08-19
Footkorner — Altri modelli (range generale);Footkorner;Completo;usato;65.0;2025-09-18
Lacoste — Polo (no inverno);Lacoste;Polo;usato;25.0;2025-08-19
Lacoste — Polo (no inverno);Lacoste;Polo;usato;35.0;2025-09-18
Lacoste — Crewneck;Lacoste;Felpa senza cappuccio;usato;35.0;2025-08-19
Lacoste — Crewneck;Lacoste;Felpa senza cappuccio;usato;40.0;2025-09-18
