brand,category,item,buy_price_max_eur,resale_min_eur,resale_max_eur,season,notes,source_pdf
Carhartt,Felpa/Pullover,Felpa/Pullover con logo ricamato,,40,50,,Evitare logo stampato/oversize o senza logo,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Felpa,Felpa con logo sulla manica,,40,50,,Foto: mostrare logo chiaramente,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Felpa con zip,Felpa con zip (tessuto consigliato),,45,55,,Puntare su quel tessuto specifico,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Giacca,Giacca fleece,,60,75,,,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Giacca a vento,Windbreaker,,40,55,,,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Zaino,Zaino,,40,45,,,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Borsello,Borsello classico,,25,35,,,STUDIO CARHARTT HUSTLEVISION.pdf
Carhartt,Borsello,Borsello stile jeans,,30,40,,,STUDIO CARHARTT HUSTLEVISION.pdf
Nike (Vintage),Felpa con zip,Felpa con zip (vintage),,35,45,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike (Vintage),Pullover/Crewneck,Pullover / Crewneck (vintage),,50,65,,Fit largo sulle maniche preferibile,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike (Vintage),Giacca a vento,Windbreaker (vintage),,45,55,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike (Vintage),Pantaloni,Pantaloni baggy (chiusura stretta - zip),,30,40,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike (Vintage),Pantaloni,Pantaloni baggy (logo caviglia),,55,60,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike Tech,Completo,Nike Tech completo (colori standard),,80,95,,Colori brutti 70-75€,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike Tech,Felpa,Felpa Nike Tech,,30,35,,Modelli particolari fino a 40€,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike Tech,Pantaloni,Pantaloni Nike Tech,,30,40,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike Tech (nuovo modello),Completo,Nike Tech NEW completo,,120,140,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike Tech (nuovo modello),Felpa,Felpa Nike Tech NEW,,45,55,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Nike Tech (nuovo modello),Pantaloni,Pantaloni Nike Tech NEW,,40,45,,,STUDIO DI MERCATO NIKE HUSTLEVISION.pdf
Footkorner,Completo,Modello FTKR accanto alla zip (completo),,60,70,,Colori classici e modelli anti-vento vanno meglio,STUDIO FOOTKORNER HUSTLEVISION.pdf
Footkorner,Completo,Modello Diamond nero/blu (completo),,80,90,,,STUDIO FOOTKORNER HUSTLEVISION.pdf
Footkorner,Completo,Altro modello importante (completo),,70,80,,,STUDIO FOOTKORNER HUSTLEVISION.pdf
Footkorner,Completo,Altro modello (completo),,55,65,,,STUDIO FOOTKORNER HUSTLEVISION.pdf
Footkorner,Completo,Altri modelli (range generale),,40,65,,Consultare Vinted per modello/colore,STUDIO FOOTKORNER HUSTLEVISION.pdf
Lacoste,Polo,Polo (no inverno),15.0,25,35,estate,"Colori forti: rosa, bianco, nero, azzurro, blu, celeste",STUDIO LACOSTE HUSTLEVISION.pdf
Lacoste,Felpa senza cappuccio,Crewneck,25.0,35,40,,,STUDIO LACOSTE HUSTLEVISION.pdf
Lacoste,Felpa con cappuccio,Hoodie,30.0,40,50,,,STUDIO LACOSTE HUSTLEVISION.pdf
Lacoste,Gilet,Gilet,25.0,45,60,,,STUDIO LACOSTE HUSTLEVISION.pdf
